DO_ID,Course Name,Date of Creation,Organisation Name,Certificate Course (Y/N),Status,Batch Count,All Batch IDs
do_113971340830187520127,18-January,2024-01-17,NIUA,Y,Retired,1,'0139719030818160647'
do_11397123959717068815,Course -01,2024-01-17,NIUA,Y,Retired,1,'0139712640604323841'
do_1139747090321899521116,Course 21 jan,2024-01-22,NIUA,Y,Retired,1,'01397471832552243230'
do_11397559915592908812,Course 23 january,2024-01-23,NIUA,N,Draft,0,
do_1139832686945976321284,Course 3rd feb,2024-02-03,NIUA,Y,Retired,1,'0139833127168409607'
do_1139867897059409921389,Course 8th feb,2024-02-08,NIUA,N,Review,0,
do_11397123324702720013,Course-02,2024-01-17,NIUA,Y,Retired,1,'0139712722416599042'
do_11397121772894617611,Course-03,2024-01-17,NIUA,N,Retired,1,'0139713022981488643'
do_113971364352679936128,Course-04,2024-01-17,NIUA,Y,Retired,1,'0139713719850516485'
do_113972091607769088160,Course-07,2024-01-18,NIUA,Y,Retired,1,'01400250102522675214'
do_113972091607769088160,Course-07,2024-01-18,NIUA,Y,Retired,1,'01400250102522675214'
do_11382123783858585619,Course-10,2023-06-19,NIUA,N,Retired,1,'01397223792034611212'
do_1143095478061465601199,"Infant, Toddler, and Caregiver-Friendly Cities - Academic Certification for Young Professionals",2025-05-09,Infant Toddler Caregiving Neighborhood ,N,Live,1,'01430960005019238458'
do_113595628443574272141,Tekdi sachin course 85,2022-08-04,NULP,N,Retired,0,
do_1135849155846144001817,Tekdi sachin course five,2022-07-20,NULP,N,Retired,0,
do_1135849169825218561825,Tekdi sachin course seven,2022-07-20,NULP,N,Retired,0,
do_1135863480888033281945,Tekdi sachin test22,2022-07-22,NULP,N,Retired,0,
do_1135436901485117441397,Tekdi test sachin81,2022-05-23,NULP,N,Retired,0,
do_1135418749741793281367,Tekdi test sachin81,2022-05-20,NULP,Y,Retired,2,"'01354113588947353619', '01354169748815052821'"
do_1135861954772664321861,Test July22,2022-07-22,NULP,N,Retired,0,
do_1141928849765908481757,फीकल स्लज और सेप्टेज प्रबंधन (FSSM) ओरिएंटेशन (FSSM Orientation - Hindi),2024-11-25,NIUA,Y,Live,1,'014197907059859456154'
do_11419794242553446411378,ஒப்புங்கிய கழிவுநீர் மற்றும் மலம் கலவைத்துறை மேலாண்மை – வடிவமைப்பு (Integrated Wastewater and Sewage Management – Design) PART 1,2024-12-02,NIUA,N,Draft,0,
do_1135863066891550721919,(CReSP) Capacity Building Session on Project Finance,2022-07-22,FCDO,N,Live,1,'01429681975890739227'
do_113811991119437824123,- june 6 - test,2023-06-06,NULP,N,Review,0,
do_11404559150014464011107,1 may2024,2024-05-01,NIUA,N,Review,0,
do_11404565281626521611112,1 st May 2024,2024-05-01,NIUA,N,Retired,0,
do_1139860951962255361358,11,2024-02-07,NULP,N,Draft,0,
do_11316717051406745614,123,2020-12-07,NULP,N,Draft,0,
do_1131588374103736321703,123,2020-11-25,PCMC,N,Draft,0,
do_1131588341505638401702,123,2020-11-25,PCMC,N,Draft,0,
do_113946429630652416143,13-dec-test-1,2023-12-13,NULP,Y,Retired,1,'0139464366050672643'
do_113946429630652416143,13-dec-test-1,2023-12-13,NULP,Y,Retired,1,'0139464366050672643'
do_1138621952289996801328,16-aug-test,2023-08-16,NULP,N,Review,0,
do_1139678251976867841108,17 Jan 2023,2024-01-12,NIUA,Y,Retired,1,'0139713419750359044'
do_113971254103883776110,17jan-test-1,2024-01-17,Leaders in Climate Change Management LCCM,N,Retired,0,
do_113972080247078912153,18 January 2024,2024-01-18,NIUA,N,Draft,0,
do_113966239602081792171,18th Jan,2024-01-10,NIUA,Y,Retired,1,'01397212202727014410'
do_113972617185935360183,19-jan-test-1,2024-01-19,NULP,N,Retired,1,'01397262536263270413'
do_113972617185935360183,19-jan-test-1,2024-01-19,NULP,N,Retired,1,'01397262536263270413'
do_11404570620189081611117,1st May 2024,2024-05-01,NIUA,N,Review,0,
do_11404625135776563211124,2 may 24,2024-05-02,NIUA,N,Retired,0,
do_1131588386651996161668,213,2020-11-25,PCMC,N,Draft,0,
do_1138876889056870401528,21st test for preference read api,2023-09-21,CertificateTest,N,Retired,0,
do_1139746877369958401107,22 Jan,2024-01-22,NIUA,Y,Retired,1,'01397469264940236828'
do_1139746984171683841113,22 Jan,2024-01-22,NIUA,N,Retired,1,'01397470721205043229'
do_1139746955451023361110,22 January,2024-01-22,NIUA,N,Retired,0,
do_1138671593885122561368,23rd aug test,2023-08-23,NULP,N,Retired,0,
do_113824104919613440188,23rd june test tekdi,2023-06-23,NULP,Y,Retired,1,'01382410836860928013'
do_11388921790264934412,23rd test course,2023-09-23,NIUA,N,Retired,0,
do_11404072980283392011026,24 April 2024,2024-04-24,NIUA,N,Review,0,
do_1138459820522536961507,24th July Test Tekdi course,2023-07-24,NULP,Y,Retired,1,'01384609216068812818'
do_1138459820522536961507,24th July Test Tekdi course,2023-07-24,NULP,Y,Retired,1,'01384609216068812818'
do_113847619974782976116,26th july optit course,2023-07-26,NULP,N,Failed,0,
do_113847736157536256150,27 jul test-1,2023-07-26,NULP,N,Retired,0,
do_113848043664654336173,27th July Dummy Report test Tekdi,2023-07-27,NULP,N,Retired,0,
do_113848043664654336173,27th July Dummy Report test Tekdi,2023-07-27,NULP,N,Retired,0,
do_113891906311151616131,27th sep test,2023-09-27,NIUA,N,Retired,0,
do_113848458990739456110,28 new,2023-07-27,NULP,N,Retired,0,
do_113848746566967296117,28th July Report Test Pune,2023-07-28,NULP,N,Retired,0,
do_11404638905130188811128,2May 2024 testing,2024-05-02,NIUA,N,Draft,0,
do_11404624947911884811121,2nd May 2024,2024-05-02,NIUA,N,Review,0,
do_11404497176755404811102,30 April 2024,2024-04-30,NIUA,N,Review,0,
do_1138531207162675201113,3rd aug Test course report,2023-08-03,nulp-learn-test,N,Retired,0,
do_1139832696901058561287,3rd feb -2,2024-02-03,NIUA,Y,Retired,1,'0139833126106071046'
do_1138539469378273281136,4th aug test 3,2023-08-04,NULP,N,Draft,0,
do_1138539485798727681139,4th aug test 4,2023-08-04,NULP,N,Draft,0,
do_1139855487949619201325,6Feb 2024,2024-02-06,NIUA,N,Review,0,
do_1139855635898122241330,6th feb,2024-02-06,NIUA,N,Draft,0,
do_113812845621215232142,7th June tekdi test vishal,2023-06-07,NULP,Y,Retired,1,'0138128544253706247'
do_1138572785055580161205,9th Aug Report test,2023-08-09,nulp-learn-test,N,Retired,0,
do_11301965354765516818,A10,2020-05-12,NUIS,N,Retired,0,
do_113192778883235840165,abc,2021-01-12,NULP,N,Draft,0,
do_1130302169128714241273,ABC,2020-05-27,Medical,N,Retired,0,
do_113172280504164352124,abcd,2020-12-14,PCMC,N,Draft,0,
do_114279918168555520132,ABCS Course,2025-03-28,NIUA,N,Draft,0,
do_11408254894405222411374,ABPAS II User & Training Modules,2024-06-22,NULP,N,Draft,1,'01408256597588377640'
do_11408254894405222411374,ABPAS II User & Training Modules,2024-06-22,NULP,N,Live,1,'01408256597588377640'
do_11368255156555776011065,Accessibility and Inclusion in Urban Development: Thematic Area - Public Spaces,2022-12-05,IIT Kharagpur,N,Draft,0,
do_11368737916261990411136,Accessibility and Inclusion in Urban Development: Thematic Area - Public Spaces,2022-12-12,IIT Kharagpur,N,Live,2,"'01382771184952115216', '01429681870428569618'"
do_11405047817472409611157,Advance Level-Solid Waste Management,2024-05-08,NULP,Y,Live,1,'01405049769383526434'
do_113853050799423488193,adventure,2023-08-03,NULP,N,Review,0,
do_1138318431321620481353,adventure,2023-07-04,NULP,N,Review,0,
do_1138338883411886081412,adventure-01,2023-07-07,NULP,N,Review,0,
do_113821965774970880133,adventure-dev,2023-06-20,NULP,N,Retired,0,
do_1138475656685322241523,Adventure-team,2023-07-26,NULP,N,Failed,0,
do_113821854787223552128,adventure-test1,2023-06-20,NULP,N,Retired,0,
do_113822706482143232156,adventure-tree,2023-06-21,NULP,N,Retired,0,
do_1138537034095984641116,Adventure01,2023-08-04,NULP,N,Review,0,
do_113824080152723456182,adventure1,2023-06-23,NULP,N,Retired,0,
do_1138531182029045761110,adventure2,2023-08-03,NULP,N,Review,0,
do_1138284123061288961178,adventure29,2023-06-29,NULP,N,Retired,0,
do_1138560408848138241179,adventure7,2023-08-07,NULP,N,Review,0,
do_113822643889979392150,adventure_3,2023-06-21,NULP,N,Retired,0,
do_1138311020478627841315,adventure_end,2023-07-03,NULP,N,Retired,0,
do_113823479962820608163,adventureP-o1,2023-06-22,NULP,N,Retired,0,
do_1138263103630704641149,Advnture103,2023-06-26,NULP,N,Review,0,
do_1130986627755130881567,aiilsg_course,2020-09-01,AIILSG,N,Retired,0,
do_1135693212472279041162,akhil demo course,2022-06-28,NULP,N,Retired,0,
do_113521127379623936181,akhilCourse,2022-04-21,NULP,N,Retired,1,'01358122927824076823'
do_1130234004427243521232,all in one course,2020-05-18,NULP,N,Retired,0,
do_1139833415852277761291,Angular 3rd feb,2024-02-03,NIUA,Y,Retired,1,'0139833463371612168'
do_114158928201465856122,Application of GIS for Waste Management of Cities,2024-10-08,ESRI,N,Live,1,'014158943410200576114'
do_113853051042562048194,Aug 3 test,2023-08-03,NULP,N,Retired,0,
